Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
soil	2012	10.1099_ijs.0.029256_0	AF466095	Not_indicated	aerobic	Not_indicated	Not_indicated	non_motile	not_indicated	catalase_positive	Amycolatopsis	viridis	GY115	Not_indicated	5.0_10.0	Not_indicated	10_and_50	Not_indicated	Not_indicated	no	cocci	not_indicated	168	NCIMB_14700_NRRL_B_24837	arabinose__galactose__lactose__trehalose		positive		No
soil	2012	10.1099_ijs.0.031039_0	AF466101		aerobic	1.1	0.45	non_motile	yes		Amycolatopsis	granulosa	GY307	Not_indicated	05_07_14	Not_indicated	20_50	Not_indicated	Not_indicated	yes	rod	not_indicated	1245	NCIMB_14709_NRRL_B_24844	fructose__mannose		positive		No
other	2004	10.1099_ijs.0.02760_0	AF466821					non_motile	no	catalase_positive__urease_positive	Mycobacterium	parmense	MUP_1182T			31	25_37				rod		1123	CIP107385T_DSM44553T	Tween_80			human_cervical_lymph_node	No
seawater	2004	10.1099_ijs.0.02398_0	AF469612	35.2	NA	8.5	0.5	not_indicated	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Tenacibaculum	skagerrakense	D30T	7.5	06_Sep	31	Oct_40			yes	rod		519	ATCCBAA_458T_DSM14836T	aspartic_acid_aspartate__sucrose		negative		Yes
other	2007	10.1099_ijs.0.64883_0	AF473835	49.3	anaerobic	0.55	0.55	non_motile	no	indole_production	Acidaminococcus	intestini	ADV255.99T							no	cocci	none	2314	AIP283.01T_CIP108586T_CCUG50930T	acetate__arginine__butanol__glycine__histidine__lactate__leucine__propionic_acid_propionate		negative	Human_GI_tract	No
other	2004	10.1099_ijs.0.02952_0	AF473836		anaerobic	0.4			no	catalase_positive__nitrate_reduction_to_nitrite	Veillonella	montpellierensis	ADV_281.99T_				37				cocci	chain	1311	CIP107992T_CCUG48299T	acetate__lactate__propionic_acid_propionate__succinic_acid_succinate		negative	Human__gastric_amniotic_fluids	No
other	2004	10.1099_ijs.0.02952_0	AF473836		anaerobic	0.4			no	catalase_positive__nitrate_reduction_to_nitrite	Veillonella	montpellierensis	ADV_281.99T_				37				cocci	chain	1311	CIP107992T_CCUG48299T	acetate__lactate__propionic_acid_propionate__succinic_acid_succinate		negative	Human__gastric_amniotic_fluids	No
other	2005	10.1099_ijs.0.63715_0	AF473837	36.3	anaerobic	0.45	0.3	non_motile	no		Dialister	micraerophilus	ADV_04.01T							no	ovoid_coccobacillus	clump	2471	AIP25.04T_CIP108278T_CCUG48837T	arginine__phenylalanine__serine	AY851488	negative	human___uterus	No
human___mouth	2004	10.1099_ijs.0.02685_0	AF479268	65.8	facultative_anaerobe			non_motile	no	gelatinase__nitrate_reduction_to_nitrite__urease_positive	Amycolatopsis	palatopharyngis	1BDZT		06_Oct		Oct_40		0.5_10	NA	rod	not_indicated	359	AS4.1729T_PCM2600T	arabinose__cellobiose__fructose__galactose__maltose__melibiose__raffinose__sorbitol__sucrose__xylose		NA		No
human___mouth	2013	10.1099_ijs.0.038737_0	AF480577		NA			not_indicated	no	tellurite_reductase	Mycobacterium	engbaekii	ATCC_27353			31	25_37			yes	cocci	not_indicated	401	DSM45694	Tween_80		NA		Yes
human___mouth	2005	10.1099_ijs.0.63634_0	AF481227	51	anaerobic	1.95	0.4	non_motile	not_indicated	gelatinase	Prevotella_	marshii	E9.34T							no	rod	clump	1551	DSM16973T_CCUG50419T	fructose__gelatin__glucose__maltose__mannose		negative		No
human___mouth	2009	10.1099_ijs.0.002337_0	AF481228	46	anaerobic	3.25	0.7	non_motile	not_indicated	alkaline_phosphatase__alpha_galactosidase__indole_production	Prevotella	micans	E7.56T_							yes	not_indicated	clump	771	DSM21469T_CCUG56105T	acetate__cellobiose__fructose__gelatin__glucose__lactose__maltose__mannose__melibiose__raffinose__salicin__succinic_acid_succinate__sucrose		negative		No
seawater	2006	10.1099_ijs.0.63941_0	AF493688	34.7	aerobic	2.2_7.5	0.5_0.6	non_motile	no		Persicivirga_	xylanidelens	SW256	n_a	n_a	20	20	0	0	yes	rod	chain	169	NCIMB14027_DSM16809			negative		Yes
freshwater_river__lake__pond	2005	10.1099_ijs.0.63736_0	AF493694	37.2	aerobic	1.6	0.45	gliding	not_indicated	catalase_positive__gelatinase	Fluviicola	taffensis	RW262T			20	Apr_25			yes	rod	clump	2189	NCIMB13979T_DSM16823T			negative		No
seawater	2004	10.1099_ijs.0.02993_0	AF500075	40	facultative_anaerobe	1.5	0.7	flagella	no	catalase_positive__gelatinase__H2S_production__nitrate_reduction_to_nitrite__oxidase_positive	Shewanella	pacifica	R10SW1T			22.5	4.0_33	3.3	0.5_6.0		rod		1083	KMM3597T_CIP107849T	2_aminethanol__2_3_butanediol__alanine__alanine__alpha_ketovaleric_acid__arabinose__aspartic_acid_aspartate__carnitine__cellobiose__glucose__glutamic_acid__glycerol__maltose__ornithine__proline__putrescine__serine__succinic_acid_succinate__threonine__Tween_20__Tween_40__Tween_80__urocanic_acid		negative		Yes
estuarine_sediment	2004	10.1099_ijs.0.02945_0	AF502400	61.1	facultative_anaerobe	0.97_1.95	0.36_0.45	non_motile	not_indicated	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite	Novosphingobium	pentaromativorans	US6_1T	6.5	06_Sep	30		2.5	01_Jun	yes	rod		1483	KCTC10454T_JCM12182T	glucose__maltose__phenylacetate		negative		Yes
plant_endophyte	2004	10.1099_ijs.0.02840_0	AF508207	59.4	aerobic			not_indicated	no		Mesorhizobium	septentrionale	SDW014T								rod	not_indicated	2003	CCBAU11014T_HAMBI2582T	fructose__glucose__malate__maltose__mannose__melibiose__sorbitol__succinic_acid_succinate__sucrose		negative		No
plant_endophyte	2004	10.1099_ijs.0.02840_0	AF508208	65.1	aerobic			not_indicated	no		Mesorhizobium	temperatum	SDW018T								rod	not_indicated	2003	CCBAU_11018T_HAMBI_2583T			negative		No
hypersaline_environment	2004	10.1099_ijs.0.02733_0	AF513434	35	aerobic	2.25	0.21	gliding	not_indicated	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite	Psychroflexus	tropicus	LA1T			30	Apr_43	8.75	Jan_20		rod	none	935	ATCCBAA_734T_DSM15496T	5_ketoguconate__alanine__alaninamide__alanine__arabitol__asparagine__aspartic_acid_aspartate__fructose__glucose__glutamic_acid__glycerol__leucine__mannitol__mannose__ornithine__proline__serine__sorbitol__sucrose__threonine__trehalose		negative		Yes
other	2006	10.1099_ijs.0.63440_0	AF513441	61	aerobic			motile__but_unspecified_structure	no	catalase_positive__oxidase_positive	Nesiotobacter	exalbescens	LA33B	7	7	45	35_45	13.5	0.5_17.5	yes	rod	chain	563	ATCCBAA_994_CIP108449	fructose__gluconic_acid__glucose__mannose__ribose		negative	hypersaline_lake	No
hypersaline_environment	2005	10.1099_ijs.0.63581_0	AF513455	35	aerobic	2	0.45	flagella		nitrate_reduction_to_nitrite__oxidase_positive	Arcobacter	halophilus	LA31BT			21.5	18_37	3	0.5_13.5		rod		1271	ATCCBAA_1022T_CIP108450T			negative		No
plant_associated	2005	10.1099_ijs.0.02791_0	AF520707	59.5	facultative_anaerobe	2	0.75	flagella	not_indicated	indole_production__nitrate_reduction_to_nitrite	Dickeya	dadantii	CFBP_1269T	not_indicated	not_indicated	37.5	36_39	not_indicated	not_indicated		rod	chain	1415	NCPPB898T_ICMP1544T_HaywardB374T	arabinose__cellobiose__glucose__lactose__malate__malonic_acid_malonate__mannitol__mannose__melibiose__myo_inositol__raffinose		negative		No
plant_associated	2005	10.1099_ijs.0.02791_0	AF520708	59.5	facultative_anaerobe	2	0.75	flagella	not_indicated	indole_production__nitrate_reduction_to_nitrite	Dickeya	dianthicola	CFBP_1200T	not_indicated	not_indicated	36	not_indicated___no_growth_at_39degC	not_indicated	not_indicated		rod	chain	1415	NCPPB453T_ICMP6427T_LMG2485T	arabinose__glucose__malate__malonic_acid_malonate__mannitol__mannose__melibiose__myo_inositol__raffinose		negative		No
plant_associated	2005	10.1099_ijs.0.02791_0	AF520711	56.4	facultative_anaerobe	2	0.75	flagella	not_indicated	indole_production__nitrate_reduction_to_nitrite	Dickeya	zeae	CFBP_2052T	not_indicated	not_indicated	37.5	36_39	not_indicated	not_indicated		rod	chain	1415	NCPPB2538T_ICMP5704T_LMG2505T	alanine__alanine__arabinose__cellobiose__glucose__lactose__malate__malonic_acid_malonate__mannitol__mannose__melibiose__myo_inositol__raffinose		negative		No
plant_associated	2005	10.1099_ijs.0.02791_0	AF520712	57.9	facultative_anaerobe	2	0.75	flagella	not_indicated	indole_production__nitrate_reduction_to_nitrite	Dickeya	dieffenbachiae	CFBP_2051T	not_indicated	not_indicated	37.5	36_39	not_indicated	not_indicated		rod	chain	1415	NCPPB2976T_ICMP1568T	arabinose__glucose__malate__malonic_acid_malonate__mannitol__mannose__myo_inositol		negative		No
other	2004	10.1099_ijs.0.02747_0	AF526913		aerobic	04_May	1	motile__but_unspecified_structure	yes	catalase_positive	Bacillus	odysseyi	34hs_1T	7	06_Oct	30_35	25_42	2.5	0_5	NA	rod	not_indicated	195	ATCCPTA4993T_NRRLB30641T_NBRC100172T	acetate__alanine__alanine__inosine__pyruvic_acid_pyruvate		positive	Mars_Odyssey_Spacecraft	Yes
hotspring	2004	10.1099_ijs.0.02790_0	AF528192	33.6	NA	0.9_2.0	0.4_0.5	flagella	no	H2S_production	Sulfurihydrogenibium_	azorense	Az_Fu1T_	6	5.5_7	68	50_73	0.1	0.1	no	rod	clump	33	DSM15241T_OCM825T	citric_acide_citrate__fructose__glucose__lactate__maltose__mannose__propionic_acid_propionate__succinic_acid_succinate__sucrose		negative		No
other	2004	10.1099_ijs.0.02585_0	AF529063	73	aerobic	0.8_1.0	1.7_2.0	flagella	no	oxidase_positive	Nocardioides	aquiterrae	GW_9T_	6.5	6.0_7.0	30	15_42			yes	rod	clump	71	KCCM41647T_JCM11813T	rhamnose__ribose__Tween_80		positive	groundwater	No
soil	2004	10.1099_ijs.0.02844_0	AF529199						yes	aesculin_hydrolysis__gelatinase__H2S_production__nitrate_reduction_to_nitrite	Streptomyces	drozdowiczii	M7aT										1323	CBMAI0498T_CIP107837T_NRRLB_24297T	adonitol__arabinose__cellobiose__fructose__galactose__mannose__melibiose__salicin__sucrose__threonine				No
built_environment	2004	10.1099_ijs.0.02793_0	AF534573	57	facultative_aerobe	2.0_3.0	1	motile__but_unspecified_structure	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Nitratireductor	aquibiodomus	NL21T_	7.25	7_7.5	32.5	30_35	1	1.0_5.0	no	rod	not_indicated	269	DSM15645T_ATCCBAA762T	adipate__citric_acide_citrate__malate		negative		No
plant_endophyte	2005	10.1099_ijs.0.63759_0	AF537343	50.8	facultative_anaerobe			not_indicated	yes	aesculin_hydrolysis__catalase_positive__oxidase_positive	Paenibacillus	mendelii	C_2T	8.5		27.5	25_30			NA	rod	not_indicated	2351	CCM4839T_LMG23002T	arabinose__cellobiose__fructose__fucose__galactose__gluconic_acid__glucose__glycerol__lactose__maltose__melibiose__raffinose__rhamnose__ribose__salicin__sucrose__trehalose__xylose		variable		No
seawater	2004	10.1099_ijs.0.02678_0	AF541966	40.9	aerobic	3.25	1.15	non_motile	yes	aesculin_hydrolysis__catalase_positive__gelatinase__nitrate_reduction_to_nitrite	Bacillus	hwajinpoensis	SW_72T	6.5	05_Jul	32.5	Oct_40	3.5	0.1_19	no	rod		803	KCCM41641T_JCM11807T	cellobiose__galactose__gelatin__mannitol__mannose__melibiose__raffinose__ribose__Tween_20__Tween_40__Tween_60__Tween_80		variable		No
freshwater_river__lake__pond	2005	10.1099_ijs.0.02337_0	AF547209	43.2	aerobic	4.5	1.3	motile__but_unspecified_structure	yes	catalase_positive	Bacillus	acidicola	105_2T	5.25	3.5_7.0	30	15_45	2	2	yes	rod	chain	2125	DSM14745T_ATCCBAA_366T_NRRLB_23453T	cellobiose__fructose__galactose__gamma_aminobutyric_acid__glucose__glycerol__lactose__maltose__mannitol__ribose__sucrose__xylose		positive		No
seawater	2013	10.1099_ijs.0.048827_0	AFRZ01000001	33.6	facultative_anaerobe	2.1	0.66	flagella	not_indicated		Sulfurimonas	gotlandica	GD1	7.35	6.7_8.0	15	Apr_20	1.5		NA	spirillum_corkscrew	not_indicated	4141	DSM19862_JCM16533	acetate__formic_acid__pyruvic_acid_pyruvate		negative		Yes
other	2013	10.1099_ijs.0.047522_0	AGUD01000068.1	74.1	aerobic	1.05	0.35	non_motile	no	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite	Patulibacter	medicamentivorans	I11	6.75	5.5_8.0	32	20_39		0_1.5	yes	rod	not_indicated	2588	DSM25962_CECT8141	acetate__alanine__alanine__alpha_ketovaleric_acid__arabitol__cellobiose__dextrin__fructose__glucose__glutamic_acid__lactate__propionic_acid_propionate__pyruvic_acid_pyruvate__rhamnose__ribose__salicin__succinic_acid_succinate__Tween_40__Tween_80__xylose		positive	activated_sludge	Yes
other	2007	10.1099_ijs.0.64835_0	AJ009706	63.6	aerobic	0.7	1.2	motile__but_unspecified_structure		nitrate_reduction_to_nitrite	Sphingomonas	fennica	K101T	7.5	5.0_8.0	25	Oct_37				rod		1740	DSM13665T_CCUG53462T	3_hydroxybutyrate__acetate		positive	drinking_water_well	Yes
other	2010	10.1099_ijs.0.015651_0	AJ227779	66.3	NA			flagella	no	acid_phosphatase__alkaline_phosphatase	Brevundimonas	vancanneytii	LMG_2337	n_a	n_a	30	30	5_30_g	5_60_g	NA	rod	chain	2129	CCUG1797_ATCC14736	adonitol__alanine__alanine__arabinose__asparagine__aspartic_acid_aspartate__caprate__citric_acide_citrate__galactose__glycerol__histidine__malate__malonic_acid_malonate__maltose__mannose__propionic_acid_propionate__pyruvic_acid_methyl_ester__serine__threonine		negative	blood_of_patient_with_endocarditis	No
other	2010	10.1099_ijs.0.016832_0	AJ227797	67	aerobic			not_indicated	no	acid_phosphatase__alkaline_phosphatase	Brevundimonas	poindexterae	FWC40			25	20_40	17.5g_L	5_60g_L	NA	rod	not_indicated	1837	LMG_25261_CCUG_57883	cellobiose__glucose__maltose__proline__succinic_acid_succinate		negative	Sludge	No
other	2010	10.1099_ijs.0.016832_0	AJ227798	66.5	aerobic			not_indicated	no	acid_phosphatase__alkaline_phosphatase__oxidase_positive	Brevundimonas	staleyi	FWC43			30	Oct_40	17.5g_L	0_40g_L	yes	rod	not_indicated	1837	LMG_25262_CCUG_57884	3_hydroxybutyrate__alanine__alanine__aspartic_acid_aspartate__cellobiose__glucose__glutamic_acid__lactate__malonic_acid_malonate__mannose__proline__rhamnose__succinic_acid_succinate		negative	Sludge	No
seawater	2013	10.1099_ijs.0.047894_0	AJ227811	62.8	aerobic	0.9	0.35	non_motile	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive	Glycocaulis	abyssi	MCS_33	7	6.0_8.0	30	15_35	4	2.0_10.0	no	rod	clump	2207	LMG27140_CCUG62981	adipate__malate		negative		Yes
wastewater	2006	10.1099_ijs.0.64199_0	AJ249200	71.3	aerobic		1.3	non_motile	no	catalase_positive__oxidase_positive	Pseudonocardia_	tetrahydrofuranoxydans	K1	7	7	25_30	Nov_36	4	4	yes	rod	chain	1535	DSM44239_CIP109050	3_hydroxybenzoate__3_hydroxybenzoate__4_hydroxbenzoate__lactate__malate__mannose__ribose__serine__sucrose__trehalose__xylose		positive	enrichment_culture_containg_THF	No
soil	2004	10.1099_ijs.0.02967_0	AJ250317	51.6	facultative_anaerobe	3.25	0.7	motile__but_unspecified_structure	yes	aesculin_hydrolysis__catalase_positive__gelatinase__nitrate_reduction_to_nitrite__oxidase_positive	Paenibacillus	cookii	LMG_18419T	7	5.0_10	32.5	15_50	6	5.0_7.0		rod		1071	CIP108110T	5_ketoguconate__arabinose__cellobiose__fructose__fucose__galactose__gluconic_acid__glucose__glycerol__glycogen__lactose__maltose__mannose__melibiose__methyl_beta_D_glucoside__N_acetylgulcosamine__raffinose__ribose__salicin__sucrose__trehalose__xylose		negative		No
soil	2004	10.1099_ijs.0.02661_0	AJ250318	35.4	aerobic	0.8	3.5	motile__but_unspecified_structure	yes	aesculin_hydrolysis__catalase_positive	Bacillus	shackletonii	LMG_18435T	7	4.5_9.0	37	15_55			yes	rod	not_indicated	373	CIP107762T	galactose__lactose__mannose__ribose__trehalose		variable		No
other	2004	10.1099_ijs.0.02833_0	AJ251530	38.6	facultative_anaerobe			non_motile	no	acid_phosphatase__catalase_positive__gelatinase__oxidase_positive	Jeotgalicoccus	pinnipedialis	A_G14_99_10T			33.5	25_42	4	02_Jun		cocci	clump	745	CCUG42722T_CIP107946T	gelatin		positive	Elephant_Seal_Mouth	No
freshwater_river__lake__pond	2013	10.1099_ijs.0.041152_0	AJ276352	36.3	facultative_anaerobe			non_motile	no	acid_phosphatase__aesculin_hydrolysis__urease_positive	Enterococcus	ureilyticus	CCM_4629	9.6		26	Oct_42	6.5		yes	ovoid_coccobacillus	chain	502	LMG26676_CCUG48799	cellobiose__fructose__glucose__glycerol__inosine__maltose__mannose__methyl_beta_D_glucoside__N_acetylgulcosamine__pyruvic_acid_methyl_ester__ribose__salicin__sucrose__thymidine__trehalose__uridine		positive		Yes
freshwater_river__lake__pond	2013	10.1099_ijs.0.041152_0	AJ276353	36.2	facultative_anaerobe			non_motile	no	acid_phosphatase__aesculin_hydrolysis	Enterococcus	rotai	CCM_4630	9.6		26	Oct_42	6.5		yes	ovoid_coccobacillus	chain	502	LMG26678_CCUG61593	cellobiose__fructose__glucose__glycerol__inosine__maltose__mannose__methyl_beta_D_glucoside__N_acetylgulcosamine__pyruvic_acid_methyl_ester__salicin__sucrose__thymidine__trehalose__uridine		positive		Yes
other	2006	10.1099_ijs.0.63983_0	AJ277205	59.8	aerobic	2.3_4.2	0.35_0.5	flagella	no	catalase_positive__H2S_production__urease_positive	Chromohalobacter	nigrandesensis	LTS_4N	7	05_Oct	32	15_40	7.5	0.5_25	yes	rod	chain	647	CECT5315_DSM14323	acetate__arabinose__fructose__galactose__gluconic_acid__glucose__glycerol__lactate__malate__maltose__mannitol__mannose__pyruvic_acid_pyruvate__succinic_acid_succinate__sucrose__trehalose__xylose		negative		No
human___mouth	2009	10.1099_ijs.0.001230_0	AJ293694		aerobic			non_motile	not_indicated	catalase_positive	Acinetobacter	gyllenbergii	NIPH2150T			31	25_37			NA	ovoid_coccobacillus	not_indicated	118	RUH422T_CCUG51248T_CCM7267T_1271T	4_hydroxbenzoate__acetate__adipate__alanine__alanine__arginine__citric_acide_citrate__ethanol__gelatin__histidine__lactate__leucine__malate__malonic_acid_malonate__ornithine__phenylacetate__phenylalanine		negative		No
other	2004	10.1099_ijs.0.63123_0	AJ293820	44.2	aerobic	2.5	0.4	flagella	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase	Glaciecola	polaris	LMG21857T			17.5	May_30	5	<10	no	rod	not_indicated	1765	CIP108324T_ARK150T	acetate__alanine__alanine__arabitol__cellobiose__dextrin__fructose__galactose__glucose__glutamic_acid__glycogen__lactose__leucine__maltose__mannitol__mannose__melibiose__methyl_pyruvate__methyl_beta_D_glucoside__propionic_acid_propionate__raffinose__salicin__sucrose__trehalose__Tween_40__Tween_80		negative	ocean	Yes
seawater	2004	10.1099_ijs.0.0286	AJ295715	44	aerobic	4.5	0.4	flagella	no	acid_phosphatase__aesculin_hydrolysis__alpha_galactosidase__catalase_positive__gelatinase	Alteromonas	stellipolaris	LMG_21861T	7.75	6.0_9.0	21	5.0_37	5.5	1.0_10		rod	clump	1157	ANT69aT_DSM15691T	acetate__alanine__alaninamide__alanine__cellobiose__dextrin__fructose__galactose__galcturonic_acid__gluconic_acid__glucose__glycerol__glycogen__inosine__lactose__leucine__maltose__mannitol__mannose__melibiose__proline__propionic_acid_propionate__raffinose__serine__succinic_acid_succinate__sucrose__threonine__trehalose__Tween_40__Tween_80__uridine		negative		Yes
bioreactor	2005	10.1099_ijs.0.63386_0	AJ303009	66	aerobic	1.05	0.4	non_motile	no	catalase_positive__nitrate_reduction_to_nitrite	Novosphingobium	lentum	MT1T			23	Apr_30			yes	rod		583	DSM13663T_CCUG45847T	alanine__alanine		negative		No
soil	2004	10.1099_ijs.0.02851_0	AJ306835	64.5	aerobic	0.9	0.55	non_motile	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Gulosibacter	molinativorax	ON4T		5.5_10.5	36	Oct_41	1	0_7	yes	rod		783	DSM13485TLMG21909T	glucose__inosine__methyl_pyruvate__putrescine__thymidine__uridine		positive		Yes
other	2004	10.1099_ijs.0.02920_0	AJ310394	57.8	aerobic	1.5	0.4	flagella	not_indicated	oxidase_positive	Collimonas	fungivorans	Ter6T	6.5		25	20_35			no	rod	none	857	NCCB100033T_LMG21973T	inosine__leucine__trehalose__uridine		negative	Fungal_Hyphae	Yes
other	2005	10.1099_ijs.0.63358_0	AJ315069	64.7	aerobic		0.9	non_motile	no	catalase_positive__gelatinase	Arthrobacter	tumbae	LMG19501T	8.5	07_Oct	26	Apr_37	7.5	05_Oct	no	cocci	clump	1457	DSM16406T	gelatin		positive	Tomb	No
other	2005	10.1099_ijs.0.63358_0	AJ315070	62.2	aerobic		0.9	non_motile	no	aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__gelatinase__nitrate_reduction_to_nitrite	Arthrobacter	momumenti	LMG19502T	7.5		26	Apr_37		May_15	no	cocci	clump	1457	DSM16405T	gelatin		positive	Tomb	No
freshwater_river__lake__pond	2005	10.1099_ijs.0.63195_0	AJ315682	66.2	facultative_aerobe	2.85	0.65	non_motile	no	catalase_positive__gelatinase__oxidase_positive	Roseicyclus	mahoneyensis	ML6T	8.5	06_Nov	30	Apr_37	5.25	0.5_10	yes	rod	clump	1597	DSM1607T_VKMB_2346	acetate__citric_acide_citrate__fructose__gelatin__glucose__glutamic_acid__lactate__malate__pyruvic_acid_pyruvate__succinic_acid_succinate		negative		No
human___fecal	2004	10.1099_ijs.0.02653_0	AJ315980	54	anaerobic	0.5	3.5	non_motile	no	indole_production	Anaerotruncus	colihominis	WAL_14565T		5.5_11	37	36_40			yes	rod	not_indicated	413	CCUG45055T_CIP107754T	cellobiose__fructose__galactose__gelatin__glucose__maltose__mannose__trehalose		positive		Yes
built_environment	2007	10.1099_ijs.0.65177_0_¥Ë_	AJ316316	39.6		2.5	0.5	flagella	yes	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Bacillus	murimartini	LMG_21005T	8.5	07_Oct	17.5	Oct_30		<4		rod	not_indicated	2888	NCIMB14102T	cellobiose__citric_acide_citrate__fructose__galactose__gelatin__glucose__glycerol__lactose__maltose__mannitol__mannose__melibiose__N_acetylgulcosamine__ribose__salicin__sorbitol__sucrose__trehalose		positive		No
